Time,Open,High,Low,Close,Volume
2023-07-14T05:00:00+0000,16.79,16.79,16.79,16.79,0
2023-07-17T05:00:00+0000,16.715,16.715,16.715,16.715,0
2023-07-18T05:00:00+0000,16.685,16.685,16.685,16.685,0
2023-07-19T05:00:00+0000,16.665,16.665,16.665,16.665,0
2023-07-20T05:00:00+0000,16.7,16.7,16.7,16.7,0
2023-07-21T05:00:00+0000,16.7,16.7,16.7,16.7,0
2023-07-24T05:00:00+0000,16.7,16.7,16.7,16.7,0
2023-07-25T05:00:00+0000,16.56,16.56,16.56,16.56,0
2023-07-26T05:00:00+0000,15.72,15.72,15.67,15.67,2
2023-07-27T05:00:00+0000,15.595,15.595,15.595,15.595,0
2023-07-28T05:00:00+0000,15.44,15.44,15.44,15.44,0
2023-07-31T05:00:00+0000,15.29,15.29,15.29,15.29,0
2023-08-01T05:00:00+0000,15.67,15.67,15.67,15.67,0
2023-08-02T05:00:00+0000,15.67,15.67,15.67,15.67,0
2023-08-03T05:00:00+0000,15.67,15.67,15.67,15.67,0
2023-08-04T05:00:00+0000,15.54,15.54,15.54,15.54,0
2023-08-07T05:00:00+0000,15.67,15.67,15.67,15.67,0
2023-08-08T05:00:00+0000,15.655,15.655,15.655,15.655,0
2023-08-09T05:00:00+0000,15.585,15.585,15.585,15.585,0
2023-08-10T05:00:00+0000,15.64,15.64,15.64,15.64,0
2023-08-11T05:00:00+0000,15.58,15.58,15.58,15.58,0
2023-08-14T05:00:00+0000,15.265,15.265,15.265,15.265,0
2023-08-15T05:00:00+0000,15.425,15.635,15.28,15.28,1
2023-08-16T05:00:00+0000,15.325,15.325,15.325,15.325,0
2023-08-17T05:00:00+0000,15.43,15.43,15.43,15.43,0
2023-08-18T05:00:00+0000,15.495,15.495,15.495,15.495,0
2023-08-21T05:00:00+0000,15.58,15.58,15.58,15.58,0
2023-08-22T05:00:00+0000,15.64,15.64,15.615,15.615,1
2023-08-23T05:00:00+0000,15.615,15.615,15.615,15.615,0
2023-08-24T05:00:00+0000,15.6,15.6,15.6,15.6,0
2023-08-25T05:00:00+0000,15.59,15.59,15.58,15.585,48
2023-08-28T05:00:00+0000,15.585,15.59,15.58,15.59,52
2023-08-29T05:00:00+0000,15.57,15.57,15.56,15.56,70
2023-08-30T05:00:00+0000,15.55,15.55,15.5,15.5,24
2023-08-31T05:00:00+0000,15.54,15.54,15.52,15.52,29
