Instrument,Description,Pointsize,Currency,AssetClass,PerBlock,Percentage,PerTrade,Region
GE,Eurodollar Futures,2500,USD,STIRS,2.12,0,0,US
ZQ,30 Day Federal Funds Futures,4167,USD,STIRS,1.83,0,0,US
SR1,One-Month SOFR Futures,4167,USD,STIRS,2.12,0,0,US
ZF,5-Year T-Note Futures,1000,USD,Bond,1.52,0,0,US
ZN,10-Year T-Note Futures,1000,USD,Bond,1.67,0,0,US
ZT,2-Year T-Note Futures,2000,USD,Bond,1.52,0,0,US
TN,Ultra 10-Year U.S. Treasury Note Futures,1000,USD,Bond,1.67,0,0,US
UB,Ultra U.S. Treasury Bond Futures,1000,USD,Bond,1.82,0,0,US
ZB,U.S. Treasury Bond Futures,1000,USD,Bond,1.74,0,0,US
Z3N,3-Year T-Note Futures,2000,USD,Bond,1.52,0,0,US
10Y,Micro 10-Year Yield Futures,1000,USD,Bond,0.57,0,0,US
2YY,Micro 2-Year Yield Futures,1000,USD,Bond,0.57,0,0,US
TWE,20-Year U.S. Treasury Bond Futures,1000,USD,Bond,1.74,0,0,US
30Y,Micro 30-Year Yield Futures,1000,USD,Bond,0.57,0,0,US
5YY,Micro 5-Year Yield Futures,1000,USD,Bond,0.57,0,0,US
HG,Copper Futures,25000,USD,Metals,2.42,0,0,US
ALI,Aluminum Futures,25,USD,Metals,3.37,0,0,US
MHG,Micro Copper Futures,2500,USD,Metals,0.87,0,0,US
QC,E-mini Copper Futures,12500,USD,Metals,1.62,0,0,US
HRC,U.S. Midwest Domestic Hot-Rolled Coil Steel (CRU) Index Futures,20,USD,Metals,5.87,0,0,US
UX,UxC Uranium U3O8 Futures,250,USD,Metals,2.37,0,0,US
GC,Gold Futures,100,USD,Metals,2.42,0,0,US
SI,Silver Futures,5000,USD,Metals,2.42,0,0,US
PL,Platinum Futures,50,USD,Metals,2.42,0,0,US
MGC,Micro Gold Futures,10,USD,Metals,0.77,0,0,US
PA,Palladium Futures,100,USD,Metals,2.42,0,0,US
SIL,Micro Silver Futures,1000,USD,Metals,1.27,0,0,US
QO,E-mini Gold Futures,50,USD,Metals,1.62,0,0,US
QI,E-mini Silver Futures,2500,USD,Metals,1.62,0,0,US
SGU,Shanghai Gold (USD) Futures,32.15,USD,Metals,2.42,0,0,US
SIL_syn,Micro Silver Futures,1000,USD,Metals,1.27,0,0,US
QI_syn,E-mini Silver Futures,2500,USD,Metals,1.62,0,0,US
MGC_syn,Micro Gold Futures,10,USD,Metals,0.77,0,0,US
QO_syn,E-mini Gold Futures,50,USD,Metals,1.62,0,0,US
QC_syn,E-mini Copper Futures,12500,USD,Metals,1.62,0,0,US
MCD_syn,Micro CAD/USD Futures,10000,USD,FX,0.41,0,0,US
M6B_syn,Micro GBP/USD Futures,6250,USD,FX,0.41,0,0,US
M6A_syn,Micro AUD/USD Futures,10000,USD,FX,0.41,0,0,US
MSF_syn,Micro CHF/USD Futures,12500,USD,FX,0.41,0,0,US
M6E_syn,Micro EUR/USD Futures,12500,USD,FX,0.41,0,0,US
MES_syn,Micro E-mini S&P 500 Index Futures,5,USD,Equity,0.62,0,0,US
M2K_syn,Micro E-mini Russell 2000 Index Futures,5,USD,Equity,0.62,0,0,US
MNQ_syn,Micro E-mini Nasdaq-100 Index Futures,2,USD,Equity,0.62,0,0,US
MYM_syn,Micro E-mini Dow Jones Industrial Average Index Futures,0.5,USD,Equity,0.62,0,0,US
QH_syn,E-mini NY Harbor ULSD Futures,21000,USD,Energy,2.07,0,0,US
MRB_syn,Micro RBOB Gasoline Futures,4200,USD,Energy,0.87,0,0,US
QU_syn,E-mini RBOB Gasoline Futures,21000,USD,Energy,2.07,0,0,US
QG_syn,E-mini Natural Gas Futures,2500,USD,Energy,1.37,0,0,US
MCL_syn,Micro WTI Crude Oil Futures,100,USD,Energy,0.77,0,0,US
QM_syn,E-mini Crude Oil Futures,500,USD,Energy,2.07,0,0,US
MBT_syn,Micro Bitcoin Futures,0.1,USD,Cryptocurrencies,3.27,0,0,US
XK_syn,Mini Soybean Futures,1000,USD,Ags,1.9,0,0,US
XW_syn,Mini-sized Chicago SRW Wheat Futures,1000,USD,Ags,1.9,0,0,US
XC_syn,Mini-Corn Futures,1000,USD,Ags,1.9,0,0,US
