Instrument,HoldRollCycle,RollOffsetDays,CarryOffset,PricedRollCycle,ExpiryOffset
HUFEUR,HMUZ,-5.0,1,HMUZ,19.0
IBEX,FGHJKMNQUVXZ,-10.0,1,FGHJKMNQUVXZ,15.0
IBEX_mini,FGHJKMNQUVXZ,-10.0,1,FGHJKMNQUVXZ,15.0
IG,FGHJKMNQUVXZ,-5.0,1,FGHJKMNQUVXZ,3.0
IND-BANK,FGHJKMNQUVXZ,-5.0,1,FGHJKMNQUVXZ,15.0
IND-FIN,FGHJKMNQUVXZ,-5.0,1,FGHJKMNQUVXZ,15.0
INR,FGHJKMNQUVXZ,-10.0,1,FGHJKMNQUVXZ,15.0
INR-SGX,FGHJKMNQUVXZ,-10.0,1,FGHJKMNQUVXZ,15.0
INR-SGX1,FGHJKMNQUVXZ,-5.0,1,FGHJKMNQUVXZ,14.0
INR-SGX2,FGHJKMNQUVXZ,-5.0,1,FGHJKMNQUVXZ,24.0
INR-micro,FGHJKMNQUVXZ,-10.0,1,FGHJKMNQUVXZ,15.0
IPC,FGHJKMNQUVXZ,-5.0,1,FGHJKMNQUVXZ,15.0
IRON,FGHJKMNQUVXZ,-60.0,-1,FGHJKMNQUVXZ,27.0
IRON-CME,FGHJKMNQUVXZ,-5.0,1,FGHJKMNQUVXZ,20.0
IRON-HK,FGHJKMNQUVXZ,-5.0,1,FGHJKMNQUVXZ,16.0
IRS,HMUZ,-10.0,1,HMUZ,15.0
JGB,HMUZ,-20.0,1,HMUZ,15.0
JGB-SGX-mini,HMUZ,-20.0,1,HMUZ,15.0
JGB-mini,HMUZ,-20.0,1,HMUZ,15.0
JP-REALESTATE,HMUZ,-5.0,1,HMUZ,15.0
JPY,HMUZ,-5.0,1,HMUZ,17.0
JPY-SGX,FGHJKMNQUVXZ,-5.0,1,FGHJKMNQUVXZ,15.0
JPY-SGX-TITAN,FGHJKMNQUVXZ,-5.0,1,FGHJKMNQUVXZ,18.0
JPYINR,FGHJKMNQUVXZ,-10.0,1,FGHJKMNQUVXZ,20.0
JPY_micro,HMUZ,-5.0,1,HMUZ,20.0
JPY_mini,HMUZ,-5.0,1,HMUZ,17.0
KOSDAQ,HMUZ,-1.0,1,HMUZ,13.0
KOSPI,HMUZ,-1.0,1,HMUZ,13.0
KOSPI300,HMUZ,-5.0,1,HMUZ,20.0
KOSPI_mini,FGHJKMNQUVXZ,-1.0,1,FGHJKMNQUVXZ,13.0
KR10,HMUZ,-1.0,1,HMUZ,18.0
KR3,HMUZ,-1.0,1,HMUZ,18.0
